12.0,3.0,0.0,1.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,4.0,0.0,5.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,12.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,22.0,1.0,27.0,2.0,1.0,1.0,26.0,0.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,7.0,38.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,24.0,0.0,0.0,7.0,1.0,7.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.0,50.0,0.0,8.0,0.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,3071.0,10.0,10.0,0.0,0.0,0.0,17.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,8.0,9.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,135.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,58.0,0.0,1.0,6.0,2.0,10.0,0.0,4.0,6.0,0.0,2.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,137.0,6.0,0.0,0.0,51.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,21.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,15.0,677.0,2.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,10.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,50.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,276.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,488.0,0.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,38.0,0.0,2.0,18.0,6.0,30.0,0.0,12.0,18.0,0.0,6.0,6.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0,0.0,0.0,227.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,35.0,0.0,22.0,14.0,18.0,5.0,9.0,0.0,0.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,30.0,0.0,37.0,39.0,2.0,0.0,0.0,24.0,19.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,24.0,5.0,39.0,13.0,0.0,5.0,0.0,7.0,18.0,5.0,0.0,10.0,5.0,2.0,0.0,8.0,7.0,7.0,9.0,9.0,7.0,28.0,9.0,105.0,26.0,0.0,5.0,5.0,19.0,1.0,7.0,4.0,0.0,0.0,2.0,14.0,34.0,0.0,22.0,7.0,25.0,12.0,13.0,0.0,30.0,5.0,9.0,6.0,6.0,0.0,1.0,0.0,3.0,7.0,0.0,45.0,2.0,7.0,0.0,13.0,9.0,0.0,2.0,2.0,5.0,0.0,23.0,0.0,0.0,0.0,0.0,2.0,57.0,0.0,5.0,5.0,0.0,4.0,53.0,4.0,13.0,29.0,11.0,2.0,0.0,9.0,19.0,50.0,8.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,6.0,2.0,0.0,24.0,2.0,20.0,0.0,4.0,10.0,0.0,2.0,2.0,11.0,13.0,16.0,7.0,2.0,4.0,2.0,0.0,8.0,7.0,0.0,0.0,34.0,7.0,7.0,7.0,3.0
90.0,6.0,0.0,71.0,0.0,23.0,64.0,54.0,6.0,10.0,0.0,0.0,28.0,39.0,0.0,0.0,0.0,3.0,0.0,0.0,46.0,0.0,63.0,91.0,1.0,51.0,108.0,11.0,0.0,0.0,139.0,18.0,4.0,8.0,4.0,25.0,4.0,0.0,0.0,4.0,0.0,2.0,4.0,13.0,45.0,5.0,32.0,13.0,0.0,13.0,0.0,6.0,35.0,4.0,0.0,23.0,10.0,2.0,0.0,22.0,5.0,5.0,12.0,12.0,7.0,3.0,6.0,12.0,1079.0,11.0,24.0,5.0,40.0,14.0,14.0,4.0,0.0,0.0,4.0,19.0,76.0,0.0,33.0,9.0,26.0,14.0,13.0,0.0,67.0,4.0,11.0,12.0,5.0,0.0,2.0,0.0,3.0,15.0,0.0,82.0,4.0,8.0,2.0,31.0,12.0,0.0,4.0,13.0,11.0,0.0,39.0,0.0,1.0,0.0,0.0,4.0,156.0,0.0,4.0,27.0,0.0,15.0,142.0,11.0,14.0,48.0,18.0,17.0,0.0,21.0,41.0,103.0,208.0,0.0,0.0,0.0,1.0,0.0,141.0,0.0,0.0,38.0,4.0,0.0,100.0,14.0,92.0,2.0,4.0,55.0,0.0,12.0,12.0,12.0,6.0,35.0,9.0,12.0,4.0,1.0,2.0,26.0,20.0,0.0,0.0,45.0,8.0,8.0,8.0,3.0
5.0,4.0,0.0,14.0,0.0,0.0,23.0,21.0,5.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,31.0,27.0,13.0,4.0,28.0,1.0,3.0,1.0,13.0,7.0,2.0,0.0,1.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,22.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,10.0,3.0,2.0,2.0,7.0,0.0,2.0,17.0,0.0,2.0,0.0,5.0,3.0,2.0,2.0,2.0,23.0,66.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,2.0,29.0,4.0,9.0,1.0,0.0,3.0,1.0,0.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,24.0,8.0,3.0,0.0,15.0,5.0,0.0,2.0,4.0,5.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,45.0,2.0,0.0,0.0,5.0,5.0,53.0,2.0,1.0,13.0,7.0,22.0,0.0,9.0,7.0,34.0,25.0,4.0,0.0,0.0,0.0,0.0,36.0,3.0,0.0,16.0,0.0,0.0,48.0,10.0,38.0,6.0,0.0,40.0,6.0,6.0,4.0,3.0,1.0,16.0,5.0,4.0,2.0,2.0,0.0,4.0,4.0,0.0,2.0,10.0,4.0,1.0,5.0,3.0
15.0,0.0,0.0,13.0,0.0,7.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,39.0,14.0,1.0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,0.0,16.0,6.0,0.0,6.0,0.0,7.0,4.0,0.0,0.0,11.0,5.0,4.0,0.0,11.0,1.0,6.0,7.0,7.0,2.0,2.0,7.0,9.0,45.0,0.0,66.0,9.0,12.0,1.0,7.0,5.0,0.0,0.0,0.0,2.0,13.0,0.0,1.0,0.0,20.0,0.0,6.0,0.0,27.0,0.0,6.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,32.0,0.0,3.0,0.0,0.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,18.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,11.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,21.0,0.0,5.0,61.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,12.0,0.0,27.0,0.0,9.0,12.0,10.0,0.0,3.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,51.0,56.0,3.0,57.0,113.0,0.0,4.0,12.0,3.0,16.0,4.0,0.0,0.0,13.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,3.0,20.0,0.0,34.0,8.0,0.0,8.0,0.0,10.0,5.0,0.0,4.0,13.0,11.0,3.0,0.0,11.0,1.0,6.0,29.0,24.0,15.0,3.0,22.0,10.0,44.0,12.0,10.0,6.0,492.0,2.0,15.0,7.0,0.0,0.0,0.0,3.0,27.0,0.0,2.0,0.0,41.0,2.0,8.0,0.0,55.0,0.0,18.0,0.0,8.0,0.0,4.0,0.0,3.0,0.0,0.0,15.0,2.0,2.0,1.0,5.0,0.0,0.0,1.0,1.0,4.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,6.0,0.0,0.0,49.0,4.0,6.0,147.0,3.0,17.0,0.0,15.0,18.0,18.0,139.0,0.0,0.0,0.0,3.0,0.0,50.0,4.0,0.0,12.0,0.0,0.0,34.0,7.0,39.0,5.0,7.0,6.0,0.0,2.0,1.0,8.0,13.0,5.0,5.0,1.0,8.0,2.0,1.0,1.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0
8.0,1.0,0.0,0.0,0.0,0.0,19.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,24.0,22.0,6.0,0.0,21.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,3.0,19.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,5.0,18.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,12.0,0.0,0.0,21.0,3.0,21.0,0.0,0.0,15.0,0.0,3.0,3.0,16.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,1.0,0.0,24.0,0.0,15.0,9.0,7.0,0.0,7.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,2.0,75.0,30.0,1.0,0.0,0.0,14.0,24.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,16.0,0.0,44.0,12.0,0.0,11.0,0.0,14.0,5.0,1.0,1.0,19.0,13.0,5.0,0.0,17.0,3.0,11.0,15.0,15.0,6.0,6.0,14.0,14.0,20.0,0.0,10.0,10.0,23.0,2.0,202.0,13.0,0.0,0.0,0.0,6.0,25.0,0.0,4.0,1.0,41.0,1.0,12.0,0.0,50.0,0.0,14.0,2.0,12.0,0.0,2.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,6.0,6.0,67.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,5.0,3.0,9.0,0.0,0.0,1.0,1.0,9.0,1.0,2.0,0.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0
4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,4.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,4.0,16.0,27.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
17.0,4.0,0.0,46.0,0.0,0.0,0.0,12.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,8.0,8.0,0.0,61.0,10.0,3.0,0.0,14.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,10.0,0.0,1.0,1.0,5.0,6.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,2.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,214.0,15.0,0.0,8.0,3.0,10.0,8.0,2.0,0.0,7.0,2.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,44.0,1.0,2.0,0.0,7.0,1.0,0.0,0.0,2.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0,0.0,2.0,1.0,2.0,26.0,3.0,3.0,39.0,4.0,1.0,0.0,9.0,28.0,14.0,39.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,11.0,0.0,0.0,35.0,2.0,32.0,0.0,1.0,10.0,0.0,3.0,3.0,3.0,2.0,7.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,13.0,4.0,4.0,2.0,1.0
