9.0,8.0,0.0,34.0,0.0,2.0,18.0,10.0,1.0,0.0,398.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,24.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,5.0,0.0,0.0,17.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,2.0,0.0,3.0,179.0,0.0,0.0,0.0,5.0,0.0,18.0,53.0,0.0,0.0,0.0,107.0,0.0,0.0,17.0,0.0,0.0,18.0,8.0,15.0,0.0,0.0,15.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,9.0,0.0,64.0,0.0,32.0,34.0,22.0,15.0,0.0,13.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,18.0,61.0,7.0,15.0,20.0,9.0,1.0,0.0,63.0,17.0,10.0,18.0,9.0,1.0,0.0,0.0,0.0,0.0,21.0,27.0,41.0,4.0,65.0,14.0,0.0,3.0,0.0,3.0,31.0,4.0,3.0,12.0,0.0,0.0,0.0,9.0,5.0,3.0,10.0,10.0,12.0,3.0,3.0,0.0,58.0,0.0,3.0,3.0,19.0,0.0,6.0,4.0,0.0,0.0,9.0,32.0,42.0,0.0,33.0,11.0,11.0,13.0,0.0,14.0,36.0,2.0,3.0,27.0,3.0,13.0,0.0,0.0,0.0,123.0,9.0,11.0,3.0,54.0,20.0,0.0,9.0,12.0,0.0,55.0,0.0,0.0,0.0,0.0,9.0,199.0,0.0,2.0,17.0,0.0,20.0,219.0,18.0,12.0,29.0,21.0,38.0,80.0,60.0,0.0,0.0,0.0,91.0,0.0,0.0,40.0,9.0,0.0,125.0,15.0,93.0,6.0,0.0,45.0,0.0,9.0,9.0,11.0,14.0,36.0,1.0,9.0,0.0,3.0,0.0,39.0,11.0,0.0,0.0,75.0,11.0,11.0,11.0,34.0
0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,18.0,0.0,79.0,1.0,0.0,78.0,57.0,5.0,3.0,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1074.0,9.0,74.0,66.0,8.0,16.0,113.0,1.0,11.0,1.0,40.0,26.0,8.0,0.0,1.0,69.0,17.0,0.0,6.0,0.0,16.0,11.0,80.0,2.0,5.0,4.0,0.0,1.0,0.0,8.0,32.0,10.0,10.0,9.0,17.0,0.0,8.0,62.0,0.0,8.0,29.0,34.0,9.0,8.0,8.0,8.0,31.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2.0,2.0,3.0,107.0,8.0,31.0,2.0,6.0,13.0,0.0,4.0,12.0,0.0,2.0,5.0,0.0,10.0,1.0,16.0,0.0,155.0,19.0,9.0,15.0,41.0,19.0,0.0,8.0,24.0,0.0,28.0,0.0,0.0,0.0,0.0,3.0,94.0,8.0,0.0,16.0,17.0,11.0,441.0,3.0,1.0,20.0,30.0,11.0,76.0,228.0,0.0,0.0,0.0,192.0,11.0,0.0,57.0,0.0,0.0,110.0,37.0,71.0,24.0,5.0,134.0,24.0,22.0,14.0,11.0,1.0,46.0,9.0,14.0,8.0,10.0,0.0,30.0,20.0,0.0,8.0,18.0,13.0,3.0,19.0,97.0
2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,1.0,0.0,0.0,1.0,74.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,149.0,0.0,36.0,0.0,0.0,103.0,82.0,2.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1364.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,1.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,1.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,12.0,0.0,0.0,31.0,0.0,0.0,16.0,12.0,0.0,0.0,0.0,0.0,58.0,25.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,26.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,25.0,0.0,0.0,0.0,117.0,0.0,0.0,6.0,28.0,2.0,1.0,0.0,31.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,1.0,1.0,0.0,26.0,268.0,1.0,0.0,0.0,21.0,0.0,133.0,326.0,0.0,0.0,0.0,185.0,1.0,0.0,114.0,0.0,0.0,179.0,33.0,153.0,5.0,22.0,133.0,0.0,30.0,29.0,0.0,4.0,67.0,11.0,29.0,0.0,2.0,0.0,39.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
96.0,55.0,0.0,12.0,17.0,3.0,27.0,40.0,0.0,0.0,19.0,8.0,1.0,0.0,0.0,3.0,0.0,0.0,13.0,0.0,24.0,1129.0,311.0,27.0,101.0,23.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,28.0,18.0,0.0,22.0,0.0,19.0,0.0,13.0,0.0,31.0,1.0,0.0,7.0,0.0,5.0,12.0,0.0,0.0,11.0,4.0,0.0,0.0,18.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,46.0,6.0,9.0,7.0,17.0,13.0,5.0,1.0,4.0,0.0,0.0,5.0,20.0,11.0,8.0,1.0,37.0,15.0,0.0,0.0,5.0,1.0,12.0,0.0,0.0,4.0,11.0,1.0,0.0,70.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,38.0,0.0,0.0,50.0,0.0,5.0,500.0,9.0,1.0,11.0,13.0,24.0,16.0,430.0,0.0,1.0,0.0,169.0,0.0,0.0,18.0,0.0,0.0,38.0,6.0,25.0,0.0,0.0,15.0,0.0,9.0,5.0,1.0,0.0,6.0,0.0,5.0,0.0,4.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,9.0
